,reviews
3209,"
1) The earbuds are lite weight and comfortable2) The battery from the charging case was charged once since I got it (4 weeks now) and it's STILL FULL (impressive!!!)3) Sound quality is nice and clean. The volume is sufficient and is delivered at a satisfying level (not too much & not too less either)
"
3210,"
-Excellent sound quality.-Awesome touch controls.-Comfortable fit in ears.-Great battery backup. Charging the case once, i've been using it for a week now, using it for around 3hrs a day. And many more days to go😉-Safe in water!-Works as a power bank too!!-The blinking light in the boult symbol makes it look even more premium.U be on ur bike or in the gym, do not worry that it wud come out or get damaged due to sweating.To sum up, an excellent product from Boult!
"
3211,"
While purchasing, it was advertised on the Amazon site, that it's a water proof IPX7 earbud but on the box and on its manual and features, it's not mentioned anywhere that it's a IPX7 protected earbud.Secondly, the right ear bud lapses in sound and unable to provide sound many a times while in use.And many times sound is not coming through buds while receiving notification from other aaps .. and it is to be connected again.So I want to return this product.It's not IPX7 .. and also defective.
"
3212,"
Worst product ever ordered two days ago delivery came today, the left earbud is not working not working, not working is an understatement it doesn't even turn on. It is defective tried to get refund for this product but it says replacement only no refund is available for this product. Now waiting for replacement to arrive. Don't buy this product. Having the worst experience from Boult Audio, keep this up & your sales will hit rock bottom very soon, very disappointed in this product. Buy products from other well known companies such as JBL, Bose etc,..
"
3213,"
Can be used only for listening.  NOT effective in voice chatting Doesn't catch voice by the microphone..Those who are looking for hands free talking this is not a good choice . Moreover there is no  effective reduction in noice
"
3214,"
Guys, Boult Audio Airbass Powerbuds are worth every penny and highly underrated. This one is the best in class product, superb sound quality and perfect Bluetooth 5 connectivity. More importantly its massive battery makes it simply the best for regular use. I am editing this review after 3 months use. Its amazing. Guys, seriously please don't waste your money on other high priced airpods etc. its just the hype in the market.
"
3215,"
This product is made for indoor use only its not for outdoor use because its volume level is very low during voice call and voice is with an echo sound battery backup is good for more than 4 hours,fast connectivity long range bluetooth but again for indoor ise only dont purchase if u r going to use this product during byke riding or in an noisy environment
"
3216,"
Boult Audio AirBass Power Buds are very responsive Bluetooth ear buds.This are my views after about a month of use. Over all rating is 4.8 Stars from my sidePors:1) Easily pairs with mobile once lid is opened of charging case2) In single charge if used as single bud, 1 and half day for calls, and 5 hours for video content3) If both the buds are used for call and video content it last for one full day4) Charging case supports reverse charging for charging mobiles etc.5) Charging case chargers the buds minimum 5 times on single charge6) Very good for music, video.7) Single bud can be paired with mobile, range of connectivity is excellent if there is no physical obstruction between the mobile and ear budsCons.1) Its touch controlled, so while even if you try to adjust the buds while answering a call even slight touch on the face of the buds disconnects the call. (over responsive touch control)
"
3217,"
While the sound quality won’t match that of AirPods or so, it’s extremely convenient to use these earphones. I won’t recommend these as your top choice sound quality earphones, but certainly a great cheaper replacement for AirPods.
"
3218,"
Really good earbuds, long battery life as stated. These ran for about a week and 3 days without charging the case. Buds battery life is around 6-9 hours. Mic is okay ig, should speak louder since other person can't seem to hear you. If you are looking for bass then these ain't the ones you should go for. I recommend these for the people who want high battery life and good enough sound to listen to music and yes they don't fall of while running, they hurt when u wear them for the first time but u will get used to it and they fit perfectly the next time. Overall rating :- 4.3/5
"
3219,"
I have been a great fan of boult audio right from the beginning as it had always justified a soundThis product is also an addition to my list and it again has fullfiled all my requirementsThe sound is awesome you can feel a deep bas along with balanced trebleSnug fit makes it best for notice cancellationU will be in a different world altogether.
"
